1.0000000000000000e-03 2.0098264637158939e+03
1.0115911122238297e-03 2.0315289550636423e+03
1.0233165783302448e-03 2.0534517386464549e+03
1.0351779556301763e-03 2.0755966963082151e+03
1.0471768194855202e-03 2.0979657193437060e+03
1.0593147635183701e-03 2.1205606996917836e+03
1.0715933998226711e-03 2.1433834835213966e+03
1.0840143591783311e-03 2.1664359023261250e+03
1.0965792912678099e-03 2.1897197929664003e+03
1.1092898648952228e-03 2.2132369975294241e+03
1.1221477682079803e-03 2.2369893631431160e+03
1.1351547089209989e-03 2.2609787417854113e+03
1.1483124145435111e-03 2.2852069900888473e+03
1.1616226326085018e-03 2.3096759691404295e+03
1.1750871309048076e-03 2.3343875442766143e+03
1.1887076977119032e-03 2.3593435848735403e+03
1.2024861420374122e-03 2.3845459641322600e+03
1.2164242938573679e-03 2.4099965588590617e+03
1.2305240043592616e-03 2.4356972492408081e+03
1.2447871461879062e-03 2.4616499186151459e+03
1.2592156136941510e-03 2.4878564532356850e+03
1.2738113231864786e-03 2.5143187420320182e+03
1.2885762131855181e-03 2.5410386763645074e+03
1.3035122446815089e-03 2.5680181497738427e+03
1.3186214013947485e-03 2.5952590577253336e+03
1.3339056900390587e-03 2.6227632899211981e+03
1.3493671405883064e-03 2.6505326934216191e+03
1.3650078065460137e-03 2.6785690982816573e+03
1.3808297652180923e-03 2.7068743324836555e+03
1.3968351179887398e-03 2.7354502216065675e+03
1.4130259905995337e-03 2.7642985884676041e+03
1.4294045334317610e-03 2.7934212527575005e+03
1.4459729217920197e-03 2.8228200306691215e+03
1.4627333562011299e-03 2.8524967345194937e+03
1.4796880626863963e-03 2.8824531723651653e+03
1.4968392930772556e-03 2.9126911476109067e+03
1.5141893253043520e-03 2.9432124586116520e+03
1.5317404637020797e-03 2.9740188982677437e+03
1.5494950393146315e-03 3.0051122536133430e+03
1.5674554102055949e-03 3.0364943053980937e+03
1.5856239617711371e-03 3.0681668276618498e+03
1.6040031070568199e-03 3.1001315873026833e+03
1.6225952870780871e-03 3.1323903436378700e+03
1.6414029711444664e-03 3.1649448479580419e+03
1.6604286571875295e-03 3.1977968430744040e+03
1.6796748720926532e-03 3.2309480448925829e+03
1.6991441720346260e-03 3.2644000597088093e+03
1.7188391428171457e-03 3.2981544448252803e+03
1.7387624002162504e-03 3.3322127407561984e+03
1.7589165903277326e-03 3.3665764706254809e+03
1.7793043899185772e-03 3.4012471395280786e+03
1.7999285067824766e-03 3.4362262338827572e+03
1.8207916800994624e-03 3.4715152207764854e+03
1.8418966807997109e-03 3.5071155473003846e+03
1.8632463119315598e-03 3.5430286398773546e+03
1.8848434090337953e-03 3.5792559035813201e+03
1.9066908405122520e-03 3.6157987214481682e+03
1.9287915080207778e-03 3.6526584537784915e+03
1.9511483468466163e-03 3.6898364374320049e+03
1.9737643263002553e-03 3.7273339851139649e+03
1.9966424501097935e-03 3.7651523846533391e+03
2.0197857568198785e-03 3.8032928982730364e+03
2.0431973201952705e-03 3.8417567618521184e+03
2.0668802496290823e-03 3.8805451841801250e+03
2.0908376905557501e-03 3.9196593462035685e+03
2.1150728248687948e-03 3.9591003825576372e+03
2.1395888713434215e-03 3.9988693055910503e+03
2.1643890860640201e-03 4.0389670631549561e+03
2.1894767628566209e-03 4.0793945664393996e+03
2.2148552337263594e-03 4.1201526890797013e+03
2.2405278693000182e-03 4.1612422662413746e+03
2.2664980792736927e-03 4.2026640936971608e+03
2.2927693128656488e-03 4.2444189268966484e+03
2.3193450592744274e-03 4.2865074800284037e+03
2.3462288481422623e-03 4.3289304250749201e+03
2.3734242500238660e-03 4.3716883908604905e+03
2.4009348768606518e-03 4.4147819620923374e+03
2.4287643824604504e-03 4.4582116783949550e+03
2.4569164629827901e-03 4.5019780333381868e+03
2.4853948574297983e-03 4.5460814734589276e+03
2.5142033481427967e-03 4.5905223972769754e+03
2.5433457613046480e-03 4.6353011543050807e+03
2.5728259674479320e-03 4.6804180440534037e+03
2.6026478819690044e-03 4.7258733150288372e+03
2.6328154656480199e-03 4.7716671637292548e+03
2.6633327251749809e-03 4.8177997081142958e+03
2.6942037136818823e-03 4.8642708861064166e+03
2.7254325312810277e-03 4.9110805365293063e+03
2.7570233256095826e-03 4.9582284347336481e+03
2.7889802923804397e-03 5.0057142914474725e+03
2.8213076759394710e-03 5.0535377516152957e+03
2.8540097698292375e-03 5.1016983932346284e+03
2.8870909173592347e-03 5.1501957261902326e+03
2.9205555121827450e-03 5.1990291910865008e+03
2.9544079988803799e-03 5.2481981580785496e+03
2.9886528735503827e-03 5.2977019257022866e+03
3.0232946844057766e-03 5.3475397197040238e+03
3.0583380323784318e-03 5.3977106918702111e+03
3.0937875717301365e-03 5.4482139188573919e+03
3.1296480106707504e-03 5.4990484010234140e+03
3.1659241119835206e-03 5.5502130612598858e+03
3.2026206936576502e-03 5.6017067438267759e+03
3.2397426295281955e-03 5.6535282131894428e+03
3.2772948499233821e-03 5.7056761528587795e+03
3.3152823423194234e-03 5.7581491642349129e+03
3.3537101520029287e-03 5.8109457234744059e+03
3.3925833827409919e-03 5.8640640272553683e+03
3.4319071974590427e-03 5.9175021223541380e+03
3.4716868189265592e-03 5.9712579580885331e+03
3.5119275304507278e-03 6.0253293850361933e+03
3.5526346765781393e-03 6.0797141537583648e+03
3.5938136638046258e-03 6.1344099135334427e+03
3.6354699612933176e-03 6.1894142111016763e+03
3.6776091016010306e-03 6.2447244894213973e+03
3.7202366814130658e-03 6.3003380864377468e+03
3.7633583622865329e-03 6.3562522338649787e+03
3.8069798714022839e-03 6.4124640559828586e+03
3.8511070023255689e-03 6.4689705684481751e+03
3.8957456157755013e-03 6.5257686771223716e+03
3.9409016404034474e-03 6.5828551769159540e+03
3.9865810735804389e-03 6.6402267506508615e+03
4.0327899821937050e-03 6.6978799679414387e+03
4.0795345034524491e-03 6.7558112840952472e+03
4.1268208457029519e-03 6.8140170390343119e+03
4.1746552892531347e-03 6.8724934562382705e+03
4.2230441872066725e-03 6.9312365748514321e+03
4.2719939663067768e-03 6.9902420232002805e+03
4.3215111277897624e-03 7.0495052193606989e+03
4.3716022482485021e-03 7.1090214460493926e+03
4.4222739805058970e-03 7.1687858495381743e+03
4.4735330544984631e-03 7.2287934386008474e+03
4.5253862781701668e-03 7.2890390834950067e+03
4.5778405383766164e-03 7.3495175149800825e+03
4.6309028017997370e-03 7.4102233233729166e+03
4.6845801158730454e-03 7.4711509576422095e+03
4.7388796097176510e-03 7.5322947245432742e+03
4.7938084950891070e-03 7.5936487877943291e+03
4.8493740673352329e-03 7.6552071672958464e+03
4.9055837063650453e-03 7.7169637383942254e+03
4.9624448776289130e-03 7.7789122311911042e+03
5.0199651331100789e-03 7.8410462298999437e+03
5.0781521123276704e-03 7.9033591722509746e+03
5.1370135433513389e-03 7.9658443489461106e+03
5.1965572438276578e-03 8.0284949031650658e+03
5.2567911220184190e-03 8.0913038301242523e+03
5.3177231778509665e-03 8.1542638298746733e+03
